t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
1426,1,MS,0.4880000000000,1,322832.9338431599899,322832.9338431599899,0.0014828500000
1427,1,MS,0.4440000000000,1,322592.7137346399832,322592.7137346399832,0.0014770900000
1428,1,MS,0.4470000000000,1,322355.2408464499749,322355.2408464499749,0.0014774900000
1429,1,MS,0.4730000000000,1,322120.2497146099922,322120.2497146099922,0.0014808800000
1430,1,MS,0.5590000000000,1,321886.7307161400095,321886.7307161400095,0.0014921700000
1431,1,MS,0.7020000000000,1,321653.7478499899735,321653.7478499899735,0.0015111200000
1432,1,MS,0.9190000000000,1,321419.8164554599789,321419.8164554599789,0.0015403000000
1433,1,MS,1.1190000000000,1,321185.4779776399955,321185.4779776399955,0.0015676400000
1434,1,MS,1.3280000000000,1,320950.5622694700141,320950.5622694700141,0.0015966900000
1435,1,MS,1.4730000000000,1,320716.4574619400082,320716.4574619400082,0.0016171400000
1436,1,MS,1.6250000000000,1,320482.8814399099792,320482.8814399099792,0.0016388300000
1437,1,MS,2.0620000000000,1,320243.9263368700049,320243.9263368700049,0.0017026800000
1438,1,MS,2.9090000000000,1,319990.7873608900118,319990.7873608900118,0.0018329600000
1439,1,MS,3.7560000000000,1,319722.9458940700279,319722.9458940700279,0.0019723200000
1440,1,MS,4.8850000000000,1,319431.2414486099733,319431.2414486099733,0.0021731600000
1441,1,MS,6.4530000000000,1,319100.0566629900131,319100.0566629900131,0.0024831900000
1442,1,MS,6.6780000000000,1,318764.3877923000255,318764.3877923000255,0.0025308500000
1443,1,MS,6.5660000000000,1,318433.0307925799862,318433.0307925799862,0.0025070200000
1444,1,MS,6.3410000000000,1,318110.0383864499745,318110.0383864499745,0.0024597700000
1445,1,MS,5.7800000000000,1,317804.9992435100139,317804.9992435100139,0.0023454800000
1446,1,MS,5.3310000000000,1,317513.8414228499751,317513.8414228499751,0.0022575200000
1447,1,MS,5.2190000000000,1,317227.7489024699898,317227.7489024699898,0.0022360600000
1448,1,MS,5.3310000000000,1,316942.1983108299901,316942.1983108299901,0.0022575200000
1449,1,MS,4.9950000000000,1,316668.9202895599883,316668.9202895599883,0.0021936900000
1450,1,MS,5.1070000000000,1,316397.3824306600145,316397.3824306600145,0.0022147800000
1451,1,MS,4.8820000000000,1,316135.2943220200250,316135.2943220200250,0.0021726000000
1452,1,MS,4.3210000000000,1,315889.3759920399752,315889.3759920399752,0.0020706000000
1453,1,MS,4.4340000000000,1,315644.9170194399776,315644.9170194399776,0.0020907800000
1454,1,MS,4.2090000000000,1,315408.7706397200236,315408.7706397200236,0.0020507700000
1455,1,MS,4.7700000000000,1,315164.8244306800188,315164.8244306800188,0.0021518700000
1456,1,MS,5.1070000000000,1,314917.7054384900257,314917.7054384900257,0.0022147800000
1457,1,MS,5.2190000000000,1,314672.0971614299924,314672.0971614299924,0.0022360600000
1458,1,MS,5.6680000000000,1,314420.9733244000236,314420.9733244000236,0.0023232500000
1459,1,MS,5.4430000000000,1,314178.4654283699929,314178.4654283699929,0.0022791800000
1460,1,MS,6.0050000000000,1,313928.0746786799864,313928.0746786799864,0.0023907200000
1461,1,MS,6.4530000000000,1,313672.1237624100177,313672.1237624100177,0.0024831900000
1462,1,MS,6.9020000000000,1,313410.5368851100211,313410.5368851100211,0.0025791300000
1463,1,MS,7.5750000000000,1,313138.3398161799996,313138.3398161799996,0.0027292900000
1464,1,MS,7.0140000000000,1,312880.2060720599839,312880.2060720599839,0.0026035800000
1465,1,MS,9.5950000000000,1,312559.4817289999919,312559.4817289999919,0.0032291900000
1466,1,MS,9.0340000000000,1,312250.4673700199928,312250.4673700199928,0.0030825900000
1467,1,MS,9.4830000000000,1,311924.3446725900285,311924.3446725900285,0.0031994200000
1468,1,MS,8.4730000000000,1,311616.6173641000059,311616.6173641000059,0.0029420800000
1469,1,MS,6.9020000000000,1,311336.3214890899835,311336.3214890899835,0.0025791300000
1470,1,MS,5.7800000000000,1,311072.5172397000133,311072.5172397000133,0.0023454800000
1471,1,MS,4.2090000000000,1,310834.6472979899845,310834.6472979899845,0.0020507700000
1472,1,MS,3.5360000000000,1,310607.0901935300208,310607.0901935300208,0.0019352200000
1473,1,MS,4.3210000000000,1,310364.7797761699767,310364.7797761699767,0.0020706000000
1474,1,MS,4.8820000000000,1,310112.5279529400286,310112.5279529400286,0.0021726000000
1475,1,MS,4.6580000000000,1,309867.4335860299761,309867.4335860299761,0.0021313300000
1476,1,MS,3.7600000000000,1,309642.5937347899890,309642.5937347899890,0.0019730000000
1477,1,MS,3.8730000000000,1,309417.7295571999857,309417.7295571999857,0.0019923100000
1478,1,MS,4.0970000000000,1,309190.9143853000132,309190.9143853000132,0.0020311100000
1479,1,MS,4.7700000000000,1,308953.5373333800235,308953.5373333800235,0.0021518700000
1480,1,MS,4.3210000000000,1,308727.8150126099936,308727.8150126099936,0.0020706000000
1481,1,MS,4.5460000000000,1,308500.4068729099818,308500.4068729099818,0.0021109700000
1482,1,MS,5.1070000000000,1,308264.9034393799957,308264.9034393799957,0.0022147800000
1483,1,MS,5.1070000000000,1,308032.5736936299945,308032.5736936299945,0.0022147800000
1484,1,MS,5.5560000000000,1,307793.8586711100070,307793.8586711100070,0.0023012100000
1485,1,MS,6.1170000000000,1,307545.7160452600219,307545.7160452600219,0.0024135400000
1486,1,MS,7.0140000000000,1,307280.2028207100229,307280.2028207100229,0.0026035800000
1487,1,MS,4.5460000000000,1,307065.5236551000271,307065.5236551000271,0.0021109700000
1488,1,MS,6.5660000000000,1,306809.3154050200246,306809.3154050200246,0.0025070200000
1489,1,MS,5.7800000000000,1,306566.0441188699915,306566.0441188699915,0.0023454800000
1490,1,MS,6.9020000000000,1,306293.9686453199829,306293.9686453199829,0.0025791300000
1491,1,MS,6.6780000000000,1,306021.8099176100222,306021.8099176100222,0.0025308500000
1492,1,MS,6.9020000000000,1,305740.3861004100181,305740.3861004100181,0.0025791300000
1493,1,MS,6.7900000000000,1,305457.7431666200282,305457.7431666200282,0.0025548800000
1494,1,MS,6.2290000000000,1,305184.6699341500062,305184.6699341500062,0.0024365500000
1495,1,MS,5.6680000000000,1,304920.5550942000118,304920.5550942000118,0.0023232500000
1496,1,MS,5.4430000000000,1,304660.6380461499793,304660.6380461499793,0.0022791800000
1497,1,MS,6.3410000000000,1,304382.5196531700203,304382.5196531700203,0.0024597700000
1498,1,MS,6.9020000000000,1,304094.1626347000129,304094.1626347000129,0.0025791300000
1499,1,MS,5.4272727300000,1,303842.2981559900218,303842.2981559900218,0.0022761300000
1500,1,MS,5.5363636400000,1,303590.9375016199774,303590.9375016199774,0.0022973700000
1501,1,MS,5.6545454600000,1,303340.3249399799970,303340.3249399799970,0.0023205900000
1502,1,MS,5.8060606100000,1,303090.0391757399775,303090.0391757399775,0.0023506800000
1503,1,MS,5.9727272700000,1,302840.0317149200127,302840.0317149200127,0.0023841800000
1504,1,MS,6.1545454600000,1,302590.0544075799990,302590.0544075799990,0.0024212300000
1505,1,MS,6.3242424200000,1,302340.5535549200140,302340.5535549200140,0.0024562800000
1506,1,MS,6.5272727300000,1,302090.9073228900088,302090.9073228900088,0.0024988300000
1507,1,MS,6.7272727300000,1,301841.2717110899976,301841.2717110899976,0.0025414000000
1508,1,MS,6.9030303000000,1,301591.9375869000214,301591.9375869000214,0.0025793500000
1509,1,MS,7.0606060600000,1,301343.0052126499941,301343.0052126499941,0.0026138200000
1510,1,MS,7.2000000000000,1,301094.4404761000187,301094.4404761000187,0.0026446600000
1511,1,MS,7.3000000000000,1,300846.6618648300064,300846.6618648300064,0.0026669900000
1512,1,MS,7.3727272700000,1,300596.0732123699854,300596.0732123699854,0.0026833400000
1513,1,MS,7.4818181800000,1,300337.3070134799927,300337.3070134799927,0.0027080300000
1514,1,MS,7.5454545500000,1,300070.3965965100215,300070.3965965100215,0.0027225300000
1515,1,MS,7.6272727300000,1,299793.1592189799994,299793.1592189799994,0.0027412800000
1516,1,MS,7.6878787900000,1,299506.9014472300187,299506.9014472300187,0.0027552400000
1517,1,MS,7.7545454500000,1,299212.2899173800251,299212.2899173800251,0.0027706700000
1518,1,MS,7.8151515200000,1,298909.2214947899920,298909.2214947899920,0.0027847700000
1519,1,MS,7.8727272700000,1,298598.1797152900253,298598.1797152900253,0.0027982300000
1520,1,MS,7.9424242400000,1,298283.6164664300159,298283.6164664300159,0.0028145900000
1521,1,MS,8.0272727300000,1,297970.0827931099921,297970.0827931099921,0.0028346400000
1522,1,MS,8.1242424200000,1,297658.2921753699775,297658.2921753699775,0.0028577000000
1523,1,MS,8.2030303000000,1,297349.6307608800125,297349.6307608800125,0.0028765700000
1524,1,MS,8.2727272700000,1,297044.5488380800234,297044.5488380800234,0.0028933500000
1525,1,MS,8.3575757600000,1,296742.8973419900285,296742.8973419900285,0.0029139100000
1526,1,MS,8.4515151500000,1,296444.5833462500013,296444.5833462500013,0.0029368200000
1527,1,MS,8.5545454500000,1,296149.5281824800186,296149.5281824800186,0.0029621400000
1528,1,MS,8.6454545400000,1,295858.1371216800180,295858.1371216800180,0.0029846400000
1529,1,MS,8.7303030300000,1,295570.6367218000232,295570.6367218000232,0.0030057800000
1530,1,MS,8.8090909100000,1,295287.0778869399801,295287.0778869399801,0.0030255400000
1531,1,MS,8.8969697000000,1,295007.1603932500002,295007.1603932500002,0.0030477100000
1532,1,MS,8.9878787900000,1,294730.5356703000143,294730.5356703000143,0.0030708100000
1533,1,MS,9.0818181800000,1,294456.9064525000285,294456.9064525000285,0.0030948400000
1534,1,MS,9.1696969700000,1,294186.2207380299806,294186.2207380299806,0.0031174800000
1535,1,MS,9.2454545400000,1,293918.5743605800089,293918.5743605800089,0.0031371200000
1536,1,MS,9.3000000000000,1,293652.3041155100218,293652.3041155100218,0.0031513300000
1537,1,MS,9.3333333300000,1,293385.5469286799780,293385.5469286799780,0.0031600400000
1538,1,MS,9.3545454600000,1,293117.5835206100019,293117.5835206100019,0.0031655900000
1539,1,MS,9.3545454600000,1,292848.1838587999810,292848.1838587999810,0.0031655900000
1540,1,MS,9.3454545500000,1,292578.3006160000223,292578.3006160000223,0.0031632100000
1541,1,MS,9.3515151500000,1,292308.6467828699970,292308.6467828699970,0.0031648000000
1542,1,MS,9.3545454600000,1,292039.7623133499874,292039.7623133499874,0.0031655900000
1543,1,MS,9.3606060600000,1,291772.1604721000185,291772.1604721000185,0.0031671800000
1544,1,MS,9.3878787900000,1,291506.3935408000252,291506.3935408000252,0.0031743400000
1545,1,MS,9.4181818200000,1,291243.6855373799917,291243.6855373799917,0.0031823100000
1546,1,MS,9.4848484900000,1,290983.7552035200060,290983.7552035200060,0.0031999100000
1547,1,MS,9.5484848500000,1,290727.1098607300082,290727.1098607300082,0.0032168000000
1548,1,MS,9.6121212100000,1,290474.0496608500252,290474.0496608500252,0.0032337600000
1549,1,MS,9.6696969700000,1,290224.9201008299715,290224.9201008299715,0.0032491800000
1550,1,MS,9.7393939400000,1,289979.7168509499752,289979.7168509499752,0.0032679300000
1551,1,MS,9.8030303000000,1,289738.7331486800103,289738.7331486800103,0.0032851500000
1552,1,MS,9.8666666700000,1,289502.1131719399709,289502.1131719399709,0.0033024400000
1553,1,MS,9.9363636400000,1,289269.8550327600096,289269.8550327600096,0.0033214700000
1554,1,MS,10.0090909100000,1,289041.9269596500089,289041.9269596500089,0.0033414400000
1555,1,MS,10.0757575800000,1,288818.4762375099817,288818.4762375099817,0.0033598400000
1556,1,MS,10.1515151500000,1,288599.2660674600047,288599.2660674600047,0.0033808600000
1557,1,MS,10.2000000000000,1,288384.5617502999958,288384.5617502999958,0.0033943800000
1558,1,MS,10.2151515200000,1,288174.4980727600050,288174.4980727600050,0.0033986200000
