t,plant,axis,mstruct,C_exudated,sum_respi_shoot,sum_respi_roots,Total_Transpiration,C_N_ratio,C_N_ratio_shoot,N_content,N_content_shoot,N_content_roots,N_content_mstruct,N_content_mstruct_shoot,N_content_total_DM_shoot,N_content_mstruct_roots,sum_N_g,sum_N_g_shoot,sum_dry_mass,sum_dry_mass_shoot,sum_dry_mass_roots,dry_mass_phloem,shoot_roots_ratio,shoot_roots_mstruct_ratio,Total_Photosynthesis,Tillers_Photosynthesis,Tillers_Photosynthesis_An,NNI,NS,NS_shoot,NS_roots,mstruct_shoot,C_respired_shoot,C_respired_roots
17.0000000000000,1,MS,0.0554766400000,0.2136135900000,0.3539268100000,0.1866071400000,0.0000416600000,16.5230515313175,10.2274075519106,2.5491255396161,4.1090743437553,1.3278367314606,3.5938377807172,7.0023360679883,4.1090743437553,1.6490724198225,0.0019937411666,0.0014112431086,0.0782127492575,0.0343445503905,0.0438681988671,0.0059946229653,0.7829031343303,0.5705636902202,0.0000000000000,0.0000000000000,0.0000000000000,0.9338805326717,29.0695436145314,41.3185213640305,19.4797805421063,0.0201538900000,0.5186406500000,0.6343099800000
18.0000000000000,1,MS,0.0555446000000,0.2256236500000,0.3679994500000,0.1871249200000,0.0000464400000,16.4958941240499,10.2178358941317,2.5531733605553,4.1128416210854,1.3316914678944,3.5934828167591,7.0003407559635,4.1128416210854,1.6505522342918,0.0019959861957,0.0014121531895,0.0781766810862,0.0343352192853,0.0438414618009,0.0059330040875,0.7831677566136,0.5702998531606,0.0000000000000,0.0000000000000,0.0000000000000,0.9347367320649,28.9498937173727,41.2479797132492,19.3184292973404,0.0201726350000,0.5358869950000,0.6423064200000
19.0000000000000,1,MS,0.0556137200000,0.2366762400000,0.3691920400000,0.1876558700000,0.0000464600000,16.4686395610106,10.2079389881292,2.5572540246564,4.1167478934373,1.3354955431317,3.5930574462253,6.9983879478551,4.1167478934373,1.6519045910915,0.0019982327279,0.0014130952489,0.0781397823080,0.0343255230935,0.0438142592145,0.0058693096745,0.7834326931210,0.5700336147122,0.0000000000000,0.0000000000000,0.0000000000000,0.9356245212357,28.8279115230145,41.1757689897851,19.1541962935484,0.0201917250000,0.5402665750000,0.6502656000000
20.0000000000000,1,MS,0.0556841800000,0.2475755600000,0.4341800600000,0.1884265500000,0.0000538300000,16.4427032575010,10.1998003515577,2.5612250467538,4.1202250154749,1.3393804262524,3.5924818600878,6.9959415846767,4.1202250154749,1.6533114493688,0.0020004428081,0.0014139647950,0.0781049213385,0.0343176595852,0.0437872617534,0.0058053353868,0.7837361417678,0.5697644654670,0.2507737500000,0.2507737500000,-0.1997393002974,0.9364147762443,28.7059713450792,41.1054971571030,18.9880148254140,0.0202112150000,0.6089029950000,0.6596111200000
21.0000000000000,1,MS,0.0557563400000,0.2564279100000,0.3967721000000,0.1896758800000,0.0000538500000,16.4169597449656,10.1910162351822,2.5651200159202,4.1237369394900,1.3430943441661,3.5917842460120,6.9935901183295,4.1237369394900,1.6544832526503,0.0020026458200,0.0014148896518,0.0780722074422,0.0343108610597,0.0437613463825,0.0057423495070,0.7840449139710,0.5694919304851,0.2510243800000,0.2510243800000,-0.2000411747802,0.9372129407932,28.5836831995620,41.0354786351845,18.8209163184552,0.0202312350000,0.5761254150000,0.6719153000000
22.0000000000000,1,MS,0.0558306800000,0.2680550800000,0.4096435900000,0.1915209900000,0.0000482800000,16.3910244121577,10.1821178302061,2.5690588636912,4.1273117447001,1.3468906025560,3.5909397601192,6.9908173430244,4.1273117447001,1.6556790251363,0.0020048451887,0.0014157757843,0.0780381180464,0.0343026132227,0.0437355048238,0.0056779044442,0.7843195902477,0.5692148284143,0.2502266800000,0.2502266800000,-0.2208068583070,0.9380253965227,28.4571996382957,40.9609557483522,18.6502587694996,0.0202519350000,0.5948329500000,0.6878599200000
23.0000000000000,1,MS,0.0559116600000,0.2733579500000,0.4076353800000,0.1937627900000,0.0000483000000,16.3656342380950,10.1740746809660,2.5729422687774,4.1305963694833,1.3508181207099,3.5892702336580,6.9852382952170,4.1305963694833,1.6568003544522,0.0020068198517,0.0014164337909,0.0779970804640,0.0342912660590,0.0437058144049,0.0056080941832,0.7845927716004,0.5690483079274,0.2504931100000,0.2504931100000,-0.2211531932218,0.9387719021553,28.3157271177317,40.8667794152193,18.4682622091446,0.0202775300000,0.6524080400000,0.7061381800000
24.0000000000000,1,MS,0.0559949200000,0.2877708700000,0.4275083700000,0.1954189700000,0.0000704700000,16.3557408035797,10.1813062647333,2.5744096776547,4.1276646154031,1.3537878754832,3.5874730490861,6.9803252421501,4.1276646154031,1.6573280732956,0.0020088023051,0.0014172873313,0.0780296284055,0.0343363006281,0.0436933277775,0.0055657465594,0.7858476883009,0.5688856649094,2.8826119800000,2.8826119800000,2.5872979611280,0.9381055944098,28.2389123923728,40.8671591621763,18.3150338610299,0.0203040300000,0.6782719400000,0.7204950300000
25.0000000000000,1,MS,0.0560796900000,0.3113725300000,0.4296257600000,0.1963634800000,0.0000705100000,16.3458141387794,10.1859426795796,2.5758888231609,4.1257925006379,1.3565366268579,3.5855371113896,6.9750305395206,4.1257925006379,1.6578547477756,0.0020107559456,0.0014180962490,0.0780606650217,0.0343714873878,0.0436891776340,0.0055330293022,0.7867277263887,0.5687228503278,2.8858463000000,2.8858463000000,2.5900997849582,0.9376801137813,28.1589133472242,40.8491120252293,18.1751821938565,0.0203310400000,0.6862798650000,0.7301934700000
26.0000000000000,1,MS,0.0561726600000,0.3393604900000,0.4427141300000,0.1975044000000,0.0000686300000,16.3313199847226,10.1864598071944,2.5780830136460,4.1255581389179,1.3591372353824,3.5846847553596,6.9716606299744,4.1255581389179,1.6583491553112,0.0020136127797,0.0014198023909,0.0781050404134,0.0344147953594,0.0436902450541,0.0055047943496,0.7876997557873,0.5687479543289,2.8819939200000,2.8819939200000,2.5765244275723,0.9376268497541,28.0806210422997,40.8238817423176,18.0427577009620,0.0203653400000,0.7057054400000,0.7407542100000
27.0000000000000,1,MS,0.0562631200000,0.3648572300000,0.4436769200000,0.1994695600000,0.0000686900000,16.3198698461542,10.1878296155396,2.5798141549071,4.1250174179250,1.3617433137181,3.5827643000271,6.9661022192940,4.1250174179250,1.6588615000537,0.0020157771271,0.0014207853103,0.0781365248061,0.0344431348136,0.0436933899925,0.0054758911755,0.7882916573771,0.5686404509043,2.8853797700000,2.8853797700000,2.5794567156726,0.9375039586193,27.9937517830150,40.7844259520056,17.9109700433705,0.0203957000000,0.7149717400000,0.7559333100000
28.0000000000000,1,MS,0.0563575800000,0.3884036500000,0.4528325900000,0.2007893500000,0.0000603700000,16.3040650678919,10.1847959530173,2.5822422732219,4.1262877582713,1.3646500467160,3.5805479478491,6.9591176245703,4.1262877582713,1.6595046151081,0.0020179099951,0.0014216722243,0.0781456494631,0.0344540252052,0.0436916242579,0.0054354955308,0.7885727708773,0.5685966300998,2.1819011200000,2.1819011200000,1.8276749755164,0.9377926723344,27.8813659017422,40.7067392609844,17.7676256943080,0.0204289150000,0.7506978600000,0.7667673600000
29.0000000000000,1,MS,0.0564509700000,0.4101361300000,0.4538825000000,0.2013466000000,0.0000604100000,16.2884466844324,10.1815474659093,2.5846469054422,4.1276370325315,1.3675116760217,3.5783568932904,6.9526313385113,4.1276370325315,1.6600901103400,0.0020200175342,0.0014225431350,0.0781544871722,0.0344638621033,0.0436906250689,0.0053930308423,0.7888159541996,0.5684975582432,2.1845417700000,2.1845417700000,1.8297621348437,0.9380993255753,27.7700077851786,40.6320164040898,17.6242501835283,0.0204605000000,0.7366590900000,0.7731373900000
30.0000000000000,1,MS,0.0565449700000,0.4245365900000,0.4688896900000,0.2012932700000,0.0000681800000,16.2728085120699,10.1778658586761,2.5870687234645,4.1291560649160,1.3702321016280,3.5760946088927,6.9463262688596,4.1291560649160,1.6604379246608,0.0020221016238,0.0014234717429,0.0781618828070,0.0344736725973,0.0436882102097,0.0053473155326,0.7890841128954,0.5684050467471,2.1794666100000,2.1794666100000,1.8112504878148,0.9384445602082,27.6565917179259,40.5562608910686,17.4776677117927,0.0204924400000,0.7548929650000,0.7752845900000
31.0000000000000,1,MS,0.0566394900000,0.4369714500000,0.4673160500000,0.2010787400000,0.0000682400000,16.2574089955603,10.1743320592744,2.5894621322747,4.1306214125886,1.3729634184166,3.5737441903335,6.9397234034718,4.1306214125886,1.6607900531549,0.0020241517341,0.0014243612262,0.0781688099969,0.0344829768688,0.0436858331281,0.0053001382378,0.7893400308437,0.5683202468131,2.1821348300000,2.1821348300000,1.8133608346020,0.9387775937701,27.5420401024001,40.4785872226238,17.3307055995119,0.0205247550000,0.7563616450000,0.7767404700000
